,offering_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price,manager_rank,topic,label
849,20000,1,2,18597,2109,1935,2988,1300000,500,0.0,886.14,26000,8000,20.0,60.0,1,934.42,40.19,2,2.0,3,1
850,19000,1,2,31884,2514,1912,1040,2300000,100,29.13,2573.6,43700,28000,0.0,75.0,1,1467.73,21.73,2,1.0,0,1
851,21400,1,2,37277,5262,3719,3965,1253000,500,37.51,3706.79,26814,15500,0.0,75.0,1,1719.61,15.98,1,1.0,4,1
852,2000,1,2,0,0,0,0,4650000,100,0.0,253.85,9300,55000,0.0,75.0,0,525.89,2.47,1,1.0,0,1
853,49000,0,2,1069,-142139,-142139,39156,19578310,500,32.0,323.03,959337,72076,20.0,60.0,1,835.66,81.15,1,2.0,1,1
854,14000,1,2,3951,-287,-287,1939,800000,500,0.0,894.67,11200,8000,5.0,75.0,1,1161.09,21.36,1,12.0,3,1
855,53000,0,2,3018454,71378,96302,12500,28749950,100,0.0,194.9,1523747,105000,20.0,50.0,1,465.0,35.14,1,1.0,4,1
856,8300,1,2,69032,14599,14887,3087,1900871,500,0.0,675.79,15777,19000,20.0,60.0,1,578.2,59.5,2,17.0,0,1
857,7700,1,2,6640,1128,1541,3227,1200000,500,0.0,998.83,9240,16000,20.0,60.0,1,442.0,1.7,2,7.0,0,1
858,17000,1,2,1678,-6031,-6031,5036,1007255,500,0.0,1166.97,17123,8000,20.0,60.0,1,695.7,40.6,2,4.0,3,1
859,15000,1,2,577,-44067,-44067,7742,2400000,500,0.0,566.54,36000,12000,0.0,80.0,1,64.33,0.03,0,3.0,1,1
860,10000,1,2,13180,2867,2457,3096,1547000,500,0.0,1537.44,15470,12000,9.05,75.0,1,1613.84,15.23,2,4.0,1,1
861,25000,1,2,61174,23462,17658,9874,3000000,500,0.0,1159.05,75000,30000,12.2,62.8,1,1511.36,42.54,1,4.0,4,1
862,24000,1,2,322392,44237,33315,7320,16000000,100,0.0,1524.8,384000,0,9.51,70.49,1,1478.53,58.59,1,2.0,3,1
863,11000,1,2,2195,112,112,3678,1200000,500,0.0,1206.75,13200,12000,14.9,65.1,1,842.79,41.12,2,2.0,2,1
864,5800,1,2,33736,1178,1020,5042,1630000,500,0.0,1414.15,9454,10000,0.0,80.0,1,1386.04,8.23,1,2.0,0,1
865,22000,1,2,18260,3078,2916,3627,1220000,500,0.0,2266.84,26840,15000,0.0,75.0,1,1627.34,9.2,2,9.0,3,1
866,49000,0,2,1069,-142139,-142139,39156,19578310,500,32.0,323.03,959337,72076,20.0,60.0,1,835.66,81.15,1,2.0,1,1
867,16000,1,2,3103,-2058,-2059,3250,815122,500,0.0,1093.01,13042,6400,18.8,61.2,1,699.59,67.4,2,4.0,2,1
868,10000,1,2,1694,-5361,-5497,7922,2650000,500,0.0,1201.26,26500,13000,10.0,70.0,1,1489.9,19.9,2,1.0,4,1
869,14300,1,2,51314,2856,3015,2988,1777000,500,6.75,633.61,25411,14000,20.0,75.0,1,1601.14,9.11,1,6.0,3,1
870,11000,1,2,12839,-3895,-4430,4713,1400000,500,0.0,2342.0,15400,11000,8.9,75.0,1,1691.65,24.42,1,2.0,4,1
871,12050,1,2,22771,1230,1525,543,1125000,100,0.0,1164.16,13556,11200,11.1,68.9,1,1240.9,11.9,1,1.0,3,1
872,28000,1,2,17677,5711,5284,2841,1411800,500,0.0,1107.81,39530,28000,5.0,75.0,1,728.82,45.4,2,6.0,3,1
873,28000,1,2,17037,4388,3866,2696,600000,500,0.0,2939.57,16800,5000,5.0,75.0,1,1696.19,31.59,2,5.0,2,1
874,2000,1,2,0,0,0,0,4650000,100,0.0,253.85,9300,55000,0.0,75.0,0,525.89,2.47,1,1.0,0,1
875,18000,1,2,20075,-3245,-3245,1939,775956,500,0.0,5.97,13967,6000,5.0,70.0,1,98.49,2.22,1,2.0,3,1
876,9000,1,2,11326,2789,2515,2831,1420000,500,0.0,1231.66,12780,14000,0.0,80.0,1,928.44,41.62,2,8.0,3,1
877,26000,1,2,13048,-1352,-2250,10875,3300000,500,0.0,1598.15,85800,26000,15.0,75.0,1,2001.11,37.46,2,2.0,3,1
878,6800,1,2,39075,2505,1952,4484,1400000,500,0.0,888.01,9520,11200,20.0,60.0,1,1056.8,19.39,2,4.0,0,1
879,7700,1,2,6640,1128,1541,3227,1200000,500,0.0,998.83,9240,16000,20.0,60.0,1,442.0,1.7,2,7.0,0,1
880,7800,1,2,40933,9466,7172,4427,2197000,500,0.0,1552.16,17137,20000,20.0,60.0,1,1255.9,24.5,1,1.0,4,1
881,4900,1,2,46873,3994,3235,814,2000000,100,32.0,786.16,9800,13000,10.0,70.0,1,1116.32,13.68,1,2.0,4,1
882,15000,0,2,169781,30034,8636,11953,9562750,500,0.0,263.87,143441,95000,20.0,60.0,1,524.56,34.44,1,4.0,3,1
883,35000,1,2,14648,-9174,-9174,2351,730000,500,27.69,1731.23,25550,6000,0.0,75.0,1,1503.91,10.98,1,2.0,3,1
884,13000,1,2,4558,-8971,-8971,6036,2226300,500,0.0,1751.25,28942,55500,3.5,75.0,1,1724.66,59.95,2,12.0,3,1
885,34300,0,2,113525,15369,15579,18156,10893990,500,33.33,654.5,373664,50000,20.0,75.0,1,1471.01,61.52,1,1.0,0,1
886,10100,1,2,30472,2711,2225,1330,397000,500,0.0,665.04,4010,3500,0.0,80.0,1,771.73,3.86,1,9.0,2,1
887,6600,1,2,106532,4502,3513,3075,1526180,500,0.0,1690.0,10073,30000,10.0,70.0,1,839.16,31.92,1,6.0,0,1
888,24000,1,2,322392,44237,33315,7320,16000000,100,0.0,1524.8,384000,0,9.51,70.49,1,1478.53,58.59,1,2.0,3,1
889,7700,1,2,6640,1128,1541,3227,1200000,500,0.0,998.83,9240,16000,20.0,60.0,1,442.0,1.7,2,7.0,0,1
890,21000,1,2,30555,7099,6234,2398,650000,500,0.0,1034.74,13650,16250,0.0,75.0,1,1594.95,0.0,1,15.0,1,1
891,11500,1,2,47403,44,4333,3057,1835000,500,33.24,1987.74,21103,22000,10.0,70.0,1,1431.0,17.83,1,3.0,0,1
892,21000,1,2,30555,7099,6234,2398,650000,500,0.0,1034.74,13650,16250,0.0,75.0,1,1594.95,0.0,1,15.0,1,1
893,9000,1,2,66136,6958,5528,5453,3243000,500,622.9,2036.0,29187,0,4.6,75.4,1,1296.86,0.0,2,1.0,3,1
894,16400,1,2,29135,2393,2162,1843,885000,500,16.72,2029.37,14514,2000,0.0,75.0,1,1729.63,11.16,1,2.0,2,1
895,5800,1,2,33736,1178,1020,5042,1630000,500,0.0,1414.15,9454,10000,0.0,80.0,1,1386.04,8.23,1,2.0,0,1
